category,domain,question_type,topic_keyword,question,answer
문화 지식,풍습/문화유산,단답형,금줄,한국의 금줄은 무엇을 막기 위해 문이나 길 어귀에 건너질러 매나요?,부정
문화 실행,일상생활,단답형,상차림,"한국 상차림 시 식기류를 어떻게 배열하는지 왼쪽을 기준으로 순서대로 나열하세요. 배열 시 각 기호는 '-'로 연결합니다. 
 ㄱ. 젓가락 ㄴ. 밥그릇 ㄷ. 국그릇 ㄹ. 숟가락 ",ㄴ-ㄷ-ㄹ-ㄱ#ㄴ - ㄷ - ㄹ - ㄱ
문화 지식,역사,단답형,조선후기 실학자(정약용),조선 후기의 실학 사상가로 목민심서를 쓴 인물은?,정약용
문화 지식,과학기술,단답형,이태규,한국에 양자역학을 화학 반응 연구에 도입한 과학자로 이론 화학을 연구했던 과학자는 누구인가요?,이태규
문화 지식,역사,단답형,고조선,한국사에서 처음으로 등장한 국가는 무엇인가요?,고조선
문화 지식,교육,단답형,학교급식법,"한국의 학교급식법은 매년 누구에 의해 계획을 수립, 시행해야 하나요?",교육감
문화 지식,교육,단답형,초등학교,한국의 보편적인 취학 시작 연령은? 만 나이로 이야기하세요.,만 6세#만6세#만6살#만 6살#6세#6살#여섯살
문화 지식,예술,단답형,오세창,"일제강점기에 '근역서휘', '근역인수' 등을 편찬한 서예가는 누구인가요?",오세창
문화 지식,일상생활,단답형,편의점,"24시간 영업하며 생필품과 음식, 의약품 등을 간편하게 구할 수 있는 가게의 이름은 무엇인가요?",편의점
문화 실행,풍습/문화유산,단답형,백자,"백자 만드는 방법을 순서대로 나열하세요. 
 ㄱ)  점토로 형태를 만든다.      ㄴ) 도자기에 투명한 유약을 입힌다.    ㄷ) 순도 높은 점토를 준비한다.      ㄹ) 1,250℃ 이상의 고온에서 환원번조를 한다.",ㄷ-ㄱ-ㄴ-ㄹ
문화 지식,예술,단답형,타령,"한국의 타령 중 판소리의 장단은 주로 2가지인데, 하나는 중중모리 장단이고 다른 하나는 무엇인가요?",자진모리장단#자진모리 장단
문화 지식,정치/경제,단답형,지방세,한국의 지방세 중 일반재원을 충당하기 위해 걷는 세금을 무엇이라 하나요?,보통세
문화 실행,풍습/문화유산,단답형,식혜,"식혜 만드는 방법을 순서에 맞게 배열하세요. 배열 시 각 기호는 '-'로 연결합니다. 
 ㄱ. 보온밥솥에 밥과 엿기름물, 설탕을 넣고 보온하기      ㄴ. 식혜물을 센불에 끓이고 거품 걷기      ㄷ. 체에 밭쳐 밥알을 건지고 식혜물 받기       ㄹ. 식혜물을 식혀서 그릇에 담고 밥알과 잣을 띄우기       ㅁ. 냄비에 멥쌀과 물을 붓고 밥 짓기",ㅁ-ㄱ-ㄷ-ㄴ-ㄹ#ㅁ - ㄱ - ㄷ - ㄴ - ㄹ
문화 실행,지리,단답형,지하철 노선,"서울 지하철 신림선을 서원역에서 샛강 방향으로 탔을 때 지나가는 역을 순서대로 나열하세요. 배열 시 각 기호는 '-'로 연결합니다. 
 ㄱ. 당곡역   ㄴ. 서울지방병무청역  ㄷ. 대방역   ㄹ. 보라매역 ",ㄱ-ㄹ-ㄴ-ㄷ#ㄱ - ㄹ - ㄴ - ㄷ
문화 지식,풍습/문화유산,단답형,제사,한국에서 제사상을 차리는 방법 중 과실의 색깔에 따라 위치를 조정하는 일을 무엇이라 하나요?,홍동백서#홍동 백서
문화 관점,예술,단답형,가면극,중국의 전통 가면극은 '변검'이라고 부릅니다. 한국의 전통 가면극은 무엇인가요?,탈춤#탈놀이#탈놀음#가면극#산대놀이#야류#오광대
문화 지식,일상생활,단답형,직장생활,직장이나 모임에서 사람들이 다 같이 모여 친목을 다지기 위해 식사를 하는 것을 무엇이라고 하나요?,회식
문화 지식,과학기술,단답형,우주비행사,한국 최초의 우주비행사는 누구인가요?,이소연
문화 지식,풍습/문화유산,단답형,윳놀이,윷놀이에서 4개의 윷 중 2개가 엎어지고 2개가 젖혀진 것은 무엇인가요?,개
문화 지식,사회,단답형,행복주택,한국토지주택공사(LH)에서 젊은 계층을 위해 시중 시세보다 저렴하게 거주할 수 있도록 주거지를 건설하여 임대하여 주는 임대 주택의 이름은 무엇인가요? ,행복주택#행복 주택
문화 관점,가치관,단답형,미신,이탈리아에서 17을 죽음과 관련한 숫자로 여겨 불길하게 여기는 것과 같이 한국에서는 어떤 숫자가 불길한 숫자로 여겨지나요?,4#사
문화 지식,지리,단답형,지역,높은 강설량을 지닌 지역으로 집으로 들어오는 눈을 막기 위해 집 주위에 우데기라는 외벽을 설치하는 특징이 있는 지역은 어디인가요?,울릉도
