category,domain,question_type,topic_keyword,question,answer
문화 지식,예술,선다형,전통놀이,"다음 한국의 전통 놀이 중 '조선시대'에 행한 놀이는? 
 1.주사위 놀이 2.검무 3.격구 4.영고 5.무애무",3
문화 지식,풍습/문화유산,선다형,진도아리랑,"한국의 진도아리랑은 어떤 타령에 영향을 받아 만들어졌나요? 
 1. 각설이타령   2.도라지타령    3.용강타령    4. 산아지타령",4
문화 지식,과학기술,선다형,우주인,"힌국인 최초의 우주 비행사는 누구인가요? 
 1. 조니 김     2. 이소연     3. 이상률     4. 김재수",2
문화 지식,일상생활,선다형,돌잔치,"돌잔치와 관련 없는 것을 고르세요.  
 1. 돌잡이  2. 돌상  3. 돌옷  4. 돌가방",4
문화 지식,풍습/문화유산,단답형,금줄,한국의 금줄은 무엇을 막기 위해 문이나 길 어귀에 건너질러 매나요?,부정
문화 지식,과학기술,선다형,백신 프로그램,"한국 최초로 V3라는 백신 프로그램을 개발한 사람은 누구인가요? 
 1. 이건희 2. 이재용 3. 김범수 4. 안철수",4
문화 지식,과학기술,선다형,한국정보기술연구원,"한국에서 IT 전문 인력의 양성을 담당하는 연구 기관으로는 무엇이 있나요? 
 1. 산업통상부     2. 한국정보기술연구원     3. 한국과학기술연구원     4. 한국우주항공연구원",2
문화 지식,사회,선다형,청년기본법,"한국의 청년기본법에서 규정하는 청년의 연령 상한선은 몇 세인가요? 
 1.23세 2.25세 3.29세 4.34세 5.39세",4
문화 실행,과학기술,선다형,반도체,"한국의 반도체 공장에서 클린룸에 입장할 때 반드시 착용해야 하는 것은 무엇인가요? 
 1. 안전모 2. 방진복 3. 고무장갑 4. 안전화",2
문화 지식,일상생활,선다형,스포츠,"현재 한국프로축구연맹에서 운영하는 축구 리그의 이름은 무엇인가요? 
 1. 슈퍼리그  2. 코리안리그  3. K리그  4. 한국축구리그",3
문화 실행,일상생활,단답형,상차림,"한국 상차림 시 식기류를 어떻게 배열하는지 왼쪽을 기준으로 순서대로 나열하세요. 배열 시 각 기호는 '-'로 연결합니다. 
 ㄱ. 젓가락 ㄴ. 밥그릇 ㄷ. 국그릇 ㄹ. 숟가락 ",ㄴ-ㄷ-ㄹ-ㄱ#ㄴ - ㄷ - ㄹ - ㄱ
문화 지식,역사,단답형,조선후기 실학자(정약용),조선 후기의 실학 사상가로 목민심서를 쓴 인물은?,정약용
문화 지식,과학기술,단답형,이태규,한국에 양자역학을 화학 반응 연구에 도입한 과학자로 이론 화학을 연구했던 과학자는 누구인가요?,이태규
문화 지식,역사,단답형,고조선,한국사에서 처음으로 등장한 국가는 무엇인가요?,고조선
문화 관점,예술,선다형,건축 양식,"다음 중 한국과 프랑스의 건축 양식을 비교한 설명으로 옳은 것은 무엇인가요? 

 1. 한국의 전통 건축은 자연과의 조화를 중시하여 바람과 물의 흐름을 고려한 설계를 특징으로 하며, 프랑스의 건축은 석조와 대리석을 사용하여 제국의 상징성을 강조한다​ 2. 한국의 전통 건축은 대칭성과 직선적인 구조를 강조하여 정형화된 형태를 가지며, 프랑스의 건축은 비대칭성과 곡선을 활용하여 자유로운 형태를 추구한다 3. 프랑스의 고딕 건축은 자연 지형을 그대로 활용하여 복잡한 형태를 가지며, 한국의 전통 성곽은 일정한 형태를 갖추어 계획적으로 건설되었다 4. 프랑스는 단청을, 한국은 스테인드글라스를 장식으로 사용했다",1
문화 관점,가치관,선다형,민속 신앙(불길한 행동),"일본에서는 젓가락을 세워서 밥에 꽂는 것을 불길하고 무례하다고 생각합니다. 한국에서는 무엇을 밥에 꽂는 것을 불길하다고 여기나요? 
 1. 숟가락     2. 칼     3. 주걱      4. 포크",1
문화 지식,지리,선다형,교통수단 이용,"일반인이 배에 승선하기 위해 필요한 자료가 아닌 것을 고르세요. 
 1. 승선 신고서 2. 신분증 3. 탑승권 4. 운항 증명서",4
문화 관점,가치관,선다형,윤달 미신,"대만에서는 윤달동안 딸 부모 건강에 이상이 올 수 있다는 미신 때문에 결혼한 딸이 처가에 돌아와 머무는 풍습이 있습니다. 윤달과 관련한 한국의 미신은 무엇이 있나요? 
 1. 결혼을 꺼린다. 2. 먼 외출을 꺼린다. 3. 사랑하는 사람에게 청혼을 한다. 4. 미뤘던 궂은 일을 한다.",4
문화 지식,교육,단답형,학교급식법,"한국의 학교급식법은 매년 누구에 의해 계획을 수립, 시행해야 하나요?",교육감
문화 실행,일상생활,선다형,된장찌개,"보편적으로 된장찌개에 꼭 필요하지 않은 재료는 무엇인가요? 
 1. 물 2. 된장 3. 두부 4. 쑥갓",4
문화 지식,과학기술,선다형,산업단지,"경기도 판교에 IT, 바이오 기업 및 연구소가 집합되어 있는 산업단지의 이름은 무엇인가요? 
 1. 바이오 밸리 2. 디지털 단지 3. 테크노 밸리 4. 테크노 단지",3
문화 관점,일상생활,선다형,주거 문화(바닥재),"일본의 전통 바닥재인 '다다미'처럼 한국에서는 어떤 바닥재를 주로 사용하였나요? 
 1. 벽돌  2. 한지  3. 나무  4. 대리석",3
문화 지식,교육,단답형,초등학교,한국의 보편적인 취학 시작 연령은? 만 나이로 이야기하세요.,만 6세#만6세#만6살#만 6살#6세#6살#여섯살
문화 지식,예술,단답형,오세창,"일제강점기에 '근역서휘', '근역인수' 등을 편찬한 서예가는 누구인가요?",오세창
문화 실행,일상생활,선다형,술 예절,"연장자와 술을 마실 때 예의에 어긋나는 행동은? 
 1. 상대의 술잔이 비었을 때 채우기  2. 상대방의 눈을 바라보고 마시기  3. 술잔과 고개를 돌려 마시기  4. 두 손으로 술을 받기",2
문화 지식,일상생활,단답형,편의점,"24시간 영업하며 생필품과 음식, 의약품 등을 간편하게 구할 수 있는 가게의 이름은 무엇인가요?",편의점
